2025-10-11 12:59:12,955 | INFO | 🛑 Application shutdown complete.
2025-10-11 12:59:15,012 | INFO | ✅ Data directory 'data' and vectorstore 'vectorstore' ensured.
2025-10-11 13:10:38,236 | INFO | 🛑 Application shutdown complete.
2025-10-11 13:10:40,436 | INFO | ✅ Data directory 'data' and vectorstore 'vectorstore' ensured.
2025-10-11 13:12:27,608 | INFO | 🛑 Application shutdown complete.
2025-10-11 13:12:29,748 | INFO | ✅ Data directory 'data' and vectorstore 'vectorstore' ensured.
2025-10-11 13:17:15,889 | INFO | 🛑 Application shutdown complete.
2025-10-11 13:17:18,153 | INFO | ✅ Data directory 'data' and vectorstore 'vectorstore' ensured.
2025-10-11 13:20:05,786 | INFO | 🛑 Application shutdown complete.
2025-10-11 13:20:07,928 | INFO | ✅ Data directory 'data' and vectorstore 'vectorstore' ensured.
2025-10-11 13:24:15,568 | INFO | 🛑 Application shutdown complete.
2025-10-11 13:24:17,681 | INFO | ✅ Data directory 'data' and vectorstore 'vectorstore' ensured.
2025-10-11 13:27:09,426 | INFO | 🛑 Application shutdown complete.
2025-10-11 13:27:11,576 | INFO | ✅ Data directory 'data' and vectorstore 'vectorstore' ensured.
2025-10-11 13:27:35,628 | INFO | 🛑 Application shutdown complete.
2025-10-11 13:27:37,672 | INFO | ✅ Data directory 'data' and vectorstore 'vectorstore' ensured.
2025-10-11 13:28:19,504 | INFO | 🛑 Application shutdown complete.
2025-10-11 13:28:21,613 | INFO | ✅ Data directory 'data' and vectorstore 'vectorstore' ensured.
2025-10-11 13:29:40,794 | INFO | 🛑 Application shutdown complete.
2025-10-11 13:29:43,166 | INFO | ✅ Data directory 'data' and vectorstore 'vectorstore' ensured.
2025-10-11 13:45:49,232 | INFO | 🛑 Application shutdown complete.
2025-10-11 13:45:51,297 | INFO | ✅ Data directory 'data' and vectorstore 'vectorstore' ensured.
2025-10-11 13:46:54,279 | INFO | 🛑 Application shutdown complete.
2025-10-25 18:33:14,373 | WARNING | ⚠️ Initializing LLM for EVALUATION: Setting temperature=0.0 for stability.
2025-10-25 18:33:14,382 | INFO | ✅ LLM Instance created successfully: llama3.1:8b (Temp: 0.0)
2025-10-25 18:33:14,395 | WARNING | ⚠️ Detected MPS but running in process-parallel mode: forcing device -> cpu to avoid MPS multi-process failures
2025-10-25 18:33:14,395 | INFO | 📦 Creating HuggingFaceEmbeddings (model=sentence-transformers/all-MiniLM-L6-v2, device=cpu)
2025-10-25 18:33:15,940 | INFO | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-10-25 18:33:20,170 | INFO | 📦 Preloading Flashrank model 'ms-marco-MiniLM-L-12-v2' (cache dir: /Users/oddnaphat/.hf_cache_dir/flashrank_models)
2025-10-25 18:33:20,280 | INFO | ✅ Flashrank model 'ms-marco-MiniLM-L-12-v2' loaded
2025-10-25 18:33:20,290 | INFO | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-10-25 18:33:20,321 | INFO | ✅ Loaded statements data from km_evidence_statements_checklist.json.
2025-10-25 18:33:20,331 | INFO | ✅ Data directory 'data', vectorstore 'vectorstore', and ref_data 'ref_data' ensured.
2025-10-25 18:33:26,497 | INFO | 🛑 Application shutdown complete.
2025-10-25 18:33:28,618 | WARNING | ⚠️ Initializing LLM for EVALUATION: Setting temperature=0.0 for stability.
2025-10-25 18:33:28,627 | INFO | ✅ LLM Instance created successfully: llama3.1:8b (Temp: 0.0)
2025-10-25 18:33:28,639 | WARNING | ⚠️ Detected MPS but running in process-parallel mode: forcing device -> cpu to avoid MPS multi-process failures
2025-10-25 18:33:28,639 | INFO | 📦 Creating HuggingFaceEmbeddings (model=sentence-transformers/all-MiniLM-L6-v2, device=cpu)
2025-10-25 18:33:29,904 | INFO | --- Starting Ingestion Batch Process ---
2025-10-25 18:33:29,904 | INFO | Initialized VectorStoreExecutorSingleton (ThreadPoolExecutor with 2 workers) for batch tasks.
2025-10-25 18:33:29,908 | INFO | Filtering enabled. Kept 7 files out of 323 matching types: ['document', 'faq']
2025-10-25 18:33:29,908 | INFO | Running ingestion in SEQUENTIAL mode.
2025-10-25 18:33:30,035 | WARNING | Skipping structured load for sheet 'Summary ข้อใหญ่' - Missing Detail column.
2025-10-25 18:33:30,035 | ERROR | Error processing sheet 'Summary ข้อใหญ่' of KM Scoring Guideline-Concept.xlsx: Missing essential Detail column.
2025-10-25 18:33:30,042 | WARNING | No clear structured header in sheet 'หลักเกณฑ์การให้คะแนน'. Skipping structured load.
2025-10-25 18:33:30,048 | WARNING | Skipping structured load for sheet 'Score-Detail' - Missing Detail column.
2025-10-25 18:33:30,048 | ERROR | Error processing sheet 'Score-Detail' of KM Scoring Guideline-Concept.xlsx: Missing essential Detail column.
2025-10-25 18:33:30,058 | WARNING | ⚠️ Detected MPS but running in process-parallel mode: forcing device -> cpu to avoid MPS multi-process failures
2025-10-25 18:33:30,058 | INFO | 📦 Creating HuggingFaceEmbeddings (model=sentence-transformers/all-MiniLM-L6-v2, device=cpu)
2025-10-25 18:33:30,189 | INFO | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-10-25 18:33:31,268 | INFO | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-10-25 18:33:33,769 | INFO | 📦 Preloading Flashrank model 'ms-marco-MiniLM-L-12-v2' (cache dir: /Users/oddnaphat/.hf_cache_dir/flashrank_models)
2025-10-25 18:33:33,892 | INFO | ✅ Flashrank model 'ms-marco-MiniLM-L-12-v2' loaded
2025-10-25 18:33:33,901 | INFO | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-10-25 18:33:33,927 | INFO | ✅ Loaded statements data from km_evidence_statements_checklist.json.
2025-10-25 18:33:33,932 | INFO | ✅ Data directory 'data', vectorstore 'vectorstore', and ref_data 'ref_data' ensured.
2025-10-25 18:33:34,950 | INFO | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-10-25 18:33:35,030 | INFO | 📄 Saved 12 chunks for doc_id=KM Scoring Guideline-Concept into vectorstore/faq/KM Scoring Guideline-Concept
2025-10-25 18:33:35,031 | INFO | Processed KM Scoring Guideline-Concept.xlsx -> doc_id: KM Scoring Guideline-Concept (12 chunks) in doc_type=faq
2025-10-25 18:33:37,829 | WARNING | ⚠️ Detected MPS but running in process-parallel mode: forcing device -> cpu to avoid MPS multi-process failures
2025-10-25 18:33:37,831 | INFO | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
